질병명,진료과,증상,관련질환,동의어,부위,인덱싱문장
조갑주위염(Paronychia),피부과,"손,발톱이 두꺼워짐,압통,발적,손,발톱이 갈라짐,고름","조갑백선,조갑 이영양증,내향성 손발톱,곰팡이 감염",생인손,발,"조갑주위염(Paronychia)은(는) 피부과에서 주로 진료하며, 증상은 손,발톱이 두꺼워짐,압통,발적,손,발톱이 갈라짐,고름이(가) 있다. 관련된 질환으로는 조갑백선,조갑 이영양증,내향성 손발톱,곰팡이 감염이(가) 있으며, 같은 이름으로는 생인손과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
족저 근막염(Plantar Fasciitis),정형외과,"압통,발의 통증","신경종,아킬레스 건염,아킬레스 건 파열","발뒤꿈치 통증 증후군,발바닥 건염,발바닥 근막염,족저 건염",발,"족저 근막염(Plantar Fasciitis)은(는) 정형외과에서 주로 진료하며, 증상은 압통,발의 통증이(가) 있다. 관련된 질환으로는 신경종,아킬레스 건염,아킬레스 건 파열이(가) 있으며, 같은 이름으로는 발뒤꿈치 통증 증후군,발바닥 건염,발바닥 근막염,족저 건염과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
지간 신경종(Interdigital neuroma),정형외과,"발의 통증,무감각,저림","결절종,무지외반증,지방종","모르톤족지,발가락 신경종",발,"지간 신경종(Interdigital neuroma)은(는) 정형외과에서 주로 진료하며, 증상은 발의 통증,무감각,저림이(가) 있다. 관련된 질환으로는 결절종,무지외반증,지방종이(가) 있으며, 같은 이름으로는 모르톤족지,발가락 신경종과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
지체장애(Physical disability),"신경외과,신경과,재활의학과,정형외과",질병명과 같은 증상,"척수구근 근위축증,연골무형성증,외상에 의한 척수 손상,선천성 기형,근위축성 측색 경화증,뇌성 마비,척추측만증,중증 근무력증,강직성 척추염,완전 척수 손상","Orthopedic Impairment,지체부자유",발,"지체장애(Physical disability)은(는) 신경외과,신경과,재활의학과,정형외과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 척수구근 근위축증,연골무형성증,외상에 의한 척수 손상,선천성 기형,근위축성 측색 경화증,뇌성 마비,척추측만증,중증 근무력증,강직성 척추염,완전 척수 손상이(가) 있으며, 같은 이름으로는 Orthopedic Impairment,지체부자유과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
통풍(Gout),류마티스내과,"환부 부종,오한,열,발의 통증,무릎 부위 통증","통풍성 관절염,관절염",동의어가 없다',발,"통풍(Gout)은(는) 류마티스내과에서 주로 진료하며, 증상은 환부 부종,오한,열,발의 통증,무릎 부위 통증이(가) 있다. 관련된 질환으로는 통풍성 관절염,관절염이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
통풍성 관절염(gouty arthritis),류마티스내과,"환부 통증,운동장애,관절통,관절염",통풍,"과요산성 관절염,urarthritis",발,"통풍성 관절염(gouty arthritis)은(는) 류마티스내과에서 주로 진료하며, 증상은 환부 통증,운동장애,관절통,관절염이(가) 있다. 관련된 질환으로는 통풍이(가) 있으며, 같은 이름으로는 과요산성 관절염,urarthritis과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
티눈 및 굳은살(Corns and callosities),피부과,"각질이 딱딱해짐,피부 각질",조갑백선,동의어가 없다',발,"티눈 및 굳은살(Corns and callosities)은(는) 피부과에서 주로 진료하며, 증상은 각질이 딱딱해짐,피부 각질이(가) 있다. 관련된 질환으로는 조갑백선이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
한포진(Acute vesiculobullous hand eczema),피부과,질병명과 같은 증상,"습진,천포창,무좀,수부 습진",급성 수포성 수부 습진,발,"한포진(Acute vesiculobullous hand eczema)은(는) 피부과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 습진,천포창,무좀,수부 습진이(가) 있으며, 같은 이름으로는 급성 수포성 수부 습진과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
간 전이(Liver Metastasis),"간담도췌외과,종양내과,간이식ㆍ간담도외과,방사선종양학과","식욕부진,체중감소,복부 통증,황달","악성 흑색종,식도암,위암,폐암,유방암,췌장암,대장암",metastatic tumors of the liver,배,"간 전이(Liver Metastasis)은(는) 간담도췌외과,종양내과,간이식ㆍ간담도외과,방사선종양학과에서 주로 진료하며, 증상은 식욕부진,체중감소,복부 통증,황달이(가) 있다. 관련된 질환으로는 악성 흑색종,식도암,위암,폐암,유방암,췌장암,대장암이(가) 있으며, 같은 이름으로는 metastatic tumors of the liver과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간 혈관종(Hepatic hemangioma),"소화기내과,성형외과","오심,포만감,무증상,복부 불편감",간의 양성 신생물,"hepatichemangioma,간해면상혈관종,간혈관종,해면상간혈관종",배,"간 혈관종(Hepatic hemangioma)은(는) 소화기내과,성형외과에서 주로 진료하며, 증상은 오심,포만감,무증상,복부 불편감이(가) 있다. 관련된 질환으로는 간의 양성 신생물이(가) 있으며, 같은 이름으로는 hepatichemangioma,간해면상혈관종,간혈관종,해면상간혈관종과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
